"","day","soil_vwc_15cm","wx_par_den15","wx_tempavg15","wx_windspeed15","Sensor_ID","sapflow_2.5cm"
"163",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C16",0.455508196721311
"164",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C17",1.79719512195122
"165",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C18",0.371016393442623
"166",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C2",0.623454545454545
"167",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C3",0.328360655737705
"168",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C4",0.342295454545455
"169",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C5",0.328724137931034
"170",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C6",0.589393442622951
"171",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C7",0.607327868852459
"172",2022-06-10,0.346011704127794,783.119049180328,22.7327868852459,1.14015582704918,"C9",0.390918032786885
"173",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C1",0.494459016393443
"174",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C10",0.76583606557377
"175",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C11",0.433049180327869
"176",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C12",0.63927868852459
"177",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C13",0.495583333333333
"178",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C14",0.524516666666667
"179",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C15",0.370966666666667
"180",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C16",0.509852459016393
"181",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C17",0.461950819672131
"182",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C18",0.404754098360656
"183",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C2",0.649295081967213
"184",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C3",0.392533333333333
"185",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C4",0.371229508196721
"186",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C5",0.504131147540984
"187",2022-06-11,0.356995864418999,263.97168852459,19.4075409836066,0.552894905937705,"C6",0.6411
